Gyroscope X,Gyroscope X,Accelerometer Z,Accelerometer Z,Gyroscope Z,Gyroscope Z CAL,Gyroscope Y,Gyroscope Y,Accelerometer Y,Accelerometer Y,Accelerometer X,Accelerometer X,Timestamp,Timestamp
0,2044,2304,11.5709573,2077,1.539520062,1.677852349,2051,2477,-14.72606752,2743,-27.45823983,1491.241455,48865
1.063829787,2043,2297,11.31589219,2079,0.81022983,2.045337712,2048,2461,-14.10269516,2751,-27.74688417,1510.772705,49505
-1.063829787,2048,2302,11.50340711,2081,0.050134228,0.303655576,2054,2469,-14.41482225,2749,-27.67843555,1530.303955,50145
1.063829787,2046,2303,11.54344963,2083,-0.689021776,1.038626303,2048,2469,-14.41375923,2754,-27.86482201,1549.835205,50785
-1.418439716,2041,2304,11.57616118,2085,-1.237775095,2.642010567,2055,2474,-14.5959706,2783,-28.93987743,1569.366455,51425
1.063829787,2043,2310,11.81093116,2080,0.450517599,2.045337712,2048,2477,-14.72672093,2754,-27.87284645,1588.897705,52065
0.354609929,2044,2302,11.49712488,2078,1.169807832,1.688490647,2050,2473,-14.57187798,2740,-27.34491375,1608.428955,52705
-1.773049645,2048,2307,11.69121809,2075,2.228407609,0.28237898,2056,2477,-14.71954777,2767,-28.35073654,1627.960205,53345
-0.709219858,2047,2295,11.21005878,2078,1.139405147,0.649864344,2053,2478,-14.74853047,2767,-28.33630176,1647.491455,53985
-0.354609929,2039,2308,11.74496263,2075,2.369615663,3.3450664,2052,2468,-14.37593417,2763,-28.20420073,1667.022705,54625
-1.063829787,2042,2295,11.20806263,2076,1.969500748,2.317078395,2054,2479,-14.79843416,2736,-27.18809373,1686.553955,55265
-1.418439716,2038,2296,11.23935535,2078,1.340613201,3.648721976,2055,2485,-15.01611616,2773,-28.55940288,1706.085205,55905
-0.709219858,2046,2318,12.14769258,2080,0.440114915,0.985434814,2053,2466,-14.30768561,2761,-28.14220856,1725.616455,56545
1.063829787,2043,2305,11.6328914,2080,0.450517599,2.045337712,2048,2463,-14.17771497,2773,-28.57120896,1745.147705,57185
0.354609929,2045,2303,11.54652413,2082,-0.289175317,1.352920177,2050,2467,-14.33689672,2754,-27.86491424,1764.678955,57825
0,2051,2287,10.90865412,2079,0.679156004,-0.67114094,2051,2466,-14.28364692,2760,-28.06800036,1784.210205,58465
-1.773049645,2052,2300,11.39603645,2081,-0.010402685,-1.059902899,2056,2487,-15.09908881,2765,-28.26780702,1803.741455,59105
-0.354609929,2051,2300,11.42219931,2082,-0.389980687,-0.681779237,2052,2470,-14.44501733,2767,-28.34266598,1823.272705,59745
-0.709219858,2051,2296,11.24531191,2083,-0.739692917,-0.692417535,2053,2481,-14.86720216,2760,-28.0781001,1842.803955,60385
0.709219858,2050,2291,11.05611172,2082,-0.399846458,-0.314293874,2049,2474,-14.59720711,2752,-27.7761278,1862.335205,61025
-0.354609929,2055,2311,11.84754391,2083,-0.83022983,-2.024061117,2052,2479,-14.81140231,2735,-27.17024113,1881.866455,61665
0,2048,2289,10.97618951,2082,-0.339578002,0.33557047,2051,2474,-14.59526227,2753,-27.81076717,1901.397705,62305
0.354609929,2049,2309,11.77872292,2082,-0.36971223,0.010638298,2050,2472,-14.53192688,2759,-28.05706539,1920.928955,62945
-0.709219858,2049,2299,11.37727858,2082,-0.33971223,-0.021276596,2053,2473,-14.56803552,2744,-27.48946651,1940.460205,63585
0.354609929,2050,2301,11.47595865,2083,-0.749558689,-0.324932172,2050,2461,-14.10103365,2764,-28.23316765,1959.991455,64225
0.354609929,2057,2292,11.10830421,2082,-0.530786056,-2.673925461,2050,2466,-14.29239485,2747,-27.59250839,1979.522705,64865
-0.709219858,2050,2302,11.49895819,2083,-0.719558689,-0.356847066,2053,2472,-14.52604515,2760,-28.08570949,1999.053955,65505
0.354609929,2053,2301,11.4590341,2079,0.628887548,-1.331643581,2050,2472,-14.52414753,2763,-28.19562287,2018.585205,609
0.354609929,2050,2322,12.27395433,2087,-2.188407609,-0.324932172,2050,2488,-15.15114163,2775,-28.66451493,2038.116455,1249
-1.063829787,2049,2304,11.58346254,2083,-0.68942446,-0.031914894,2054,2469,-14.41343638,2757,-27.97713351,2057.647705,1889
0.354609929,2053,2297,11.32535255,2082,-0.450249143,-1.331643581,2050,2455,-13.86618637,2767,-28.33976058,2077.178955,2529
-1.063829787,2055,2287,10.91769999,2083,-0.81022983,-2.045337712,2054,2460,-14.05750034,2748,-27.6238273,2096.710205,3169
0,2052,2286,10.84723813,2085,-1.499251605,-1.006711409,2051,2480,-14.81904672,2765,-28.25134307,2116.241455,3809
-1.418439716,2048,2303,11.55585125,2078,1.139270919,0.293017278,2055,2461,-14.10371865,2761,-28.12445332,2135.772705,4449
-0.354609929,2051,2293,11.154851,2082,-0.389980687,-0.681779237,2052,2462,-14.12872492,2776,-28.66797886,2155.303955,5089
-0.709219858,2052,2300,11.4103454,2085,-1.479251605,-1.027988005,2053,2478,-14.741365,2797,-29.45342147,2174.835205,5729
-0.709219858,2055,2293,11.14540545,2082,-0.460517599,-2.034699415,2053,2468,-14.36486363,2761,-28.11213994,2194.366455,6369
0,2049,2309,11.78626114,2083,-0.71942446,0,2051,2467,-14.3434714,2749,-27.68692117,2213.897705,7009
0,2048,2290,10.9884283,2083,-0.699290232,0.33557047,2051,2492,-15.28929255,2749,-27.66298618,2233.428955,7649
-0.354609929,2050,2299,11.35445668,2082,-0.369846458,-0.346208768,2052,2488,-15.13858308,2760,-28.08137444,2252.960205,8289
-0.709219858,2050,2283,10.73182594,2082,-0.359846458,-0.356847066,2053,2477,-14.70435144,2757,-27.95158441,2272.491455,8929
1.418439716,2048,2291,11.06533522,2083,-0.739290232,0.378123661,2047,2468,-14.36661958,2752,-27.7764045,2292.022705,9569
-0.709219858,2050,2295,11.23626605,2083,-0.719558689,-0.356847066,2053,2461,-14.09334874,2772,-28.52227317,2311.553955,10209
-1.418439716,2056,2310,11.79298747,2083,-0.820364058,-2.39154648,2055,2489,-15.17531331,2788,-29.1315674,2331.085205,10849
-1.773049645,2055,2279,10.58110141,2081,-0.070805369,-2.066614308,2056,2471,-14.47246479,2752,-27.76187749,2350.616455,11489
0.354609929,2048,2307,11.70184561,2081,0.010134228,0.346208768,2050,2470,-14.45385969,2758,-28.01772204,2370.147705,12129
-1.063829787,2054,2295,11.22686491,2084,-1.149807832,-1.709767243,2054,2467,-14.32837722,2760,-28.07754669,2389.678955,12769
0,2050,2292,11.11170438,2083,-0.739558689,-0.33557047,2051,2464,-14.2073906,2769,-28.40742521,2409.210205,13409
0.709219858,2048,2296,11.24373025,2080,0.359846458,0.356847066,2049,2482,-14.90674365,2757,-27.96694154,2428.741455,14049
-0.709219858,2049,2303,11.56806044,2081,0.02,-0.021276596,2053,2453,-13.79848908,2755,-27.90259737,2448.272705,14689
-2.127659574,2052,2293,11.16368962,2084,-1.079539375,-1.070541197,2057,2456,-13.90775944,2750,-27.70528106,2467.803955,15329
-0.354609929,2051,2305,11.60801414,2081,-0.030268456,-0.681779237,2052,2479,-14.79964654,2754,-27.86675894,2487.335205,15969
-2.482269504,2047,2304,11.57738756,2083,-0.609156004,0.596672854,2058,2473,-14.565311,2762,-28.16213644,2506.866455,16609
-0.709219858,2048,2291,11.07312509,2082,-0.319578002,0.314293874,2053,2463,-14.17187276,2759,-28.03589746,2526.397705,17249
-0.354609929,2054,2299,11.38963579,2085,-1.529520062,-1.688490647,2052,2465,-14.25910517,2748,-27.63798537,2545.928955,17889
-1.418439716,2055,2292,11.10849665,2083,-0.80022983,-2.05597601,2055,2466,-14.28758382,2760,-28.07399564,2565.460205,18529
-0.354609929,2050,2287,10.90081984,2081,-0.010134228,-0.346208768,2052,2471,-14.47950399,2750,-27.69739497,2584.991455,19169
1.063829787,2050,2296,11.27165241,2082,-0.409846458,-0.303655576,2048,2464,-14.20868973,2774,-28.59740883,2604.522705,19809
-1.063829787,2051,2286,10.89041436,2086,-1.808829607,-0.703055833,2054,2452,-13.73964088,2774,-28.58597169,2624.053955,20449
0.709219858,2052,2298,11.33139792,2082,-0.440114915,-0.985434814,2049,2477,-14.7150519,2760,-28.08068268,2643.585205,21089
0,2049,2286,10.86086614,2081,0,0,2051,2471,-14.47834653,2751,-27.73323339,2663.116455,21729
0,2049,2299,11.39445479,2081,0,0,2051,2462,-14.1386303,2762,-28.15664846,2682.647705,22369
-0.354609929,2059,2291,11.06230513,2079,0.528082179,-3.366342996,2052,2470,-14.44237186,2755,-27.88742471,2702.178955,23009
-1.773049645,2053,2300,11.44199112,2083,-0.749961373,-1.395473369,2056,2457,-13.95022204,2754,-27.86177825,2721.710205,23649
-0.709219858,2052,2296,11.29139981,2080,0.319309546,-1.027988005,2053,2451,-13.71500468,2758,-28.00540866,2741.241455,24289
-0.354609929,2049,2297,11.29307029,2079,0.72942446,-0.010638298,2052,2476,-14.67324272,2767,-28.33879211,2760.772705,24929
-0.709219858,2050,2299,11.37628905,2082,-0.359846458,-0.356847066,2053,2474,-14.59277386,2781,-28.85980719,2780.303955,25569
-0.709219858,2048,2302,11.51276384,2082,-0.319578002,0.314293874,2053,2463,-14.18090401,2758,-28.01204958,2799.835205,26209
0,2050,2288,10.96248749,2081,-0.020134228,-0.33557047,2051,2457,-13.93781286,2762,-28.14368944,2819.366455,26849
0,2047,2295,11.24550435,2080,0.399980687,0.67114094,2051,2455,-13.86239114,2773,-28.55958735,2838.897705,27489
-0.709219858,2047,2283,10.74402032,2079,0.779692917,0.649864344,2053,2469,-14.39949196,2750,-27.69269098,2858.428955,28129
-1.418439716,2052,2292,11.09477982,2084,-1.099539375,-1.049264601,2055,2475,-14.63050448,2768,-28.36988043,2877.960205,28769
0,2048,2303,11.53571897,2080,0.379846458,0.33557047,2051,2474,-14.60702574,2751,-27.75347898,2897.491455,29409
-0.709219858,2049,2299,11.35748677,2083,-0.69942446,-0.021276596,2053,2486,-15.06283081,2757,-27.97035423,2917.022705,30049
-1.418439716,2051,2283,10.75213586,2085,-1.439117377,-0.713694131,2055,2464,-14.1966034,2779,-28.76700852,2936.553955,30689
-0.354609929,2050,2294,11.18226985,2084,-1.089270919,-0.346208768,2052,2470,-14.44325368,2759,-28.0391718,2956.085205,31329
-1.063829787,2049,2295,11.2391185,2083,-0.68942446,-0.031914894,2054,2459,-14.02203742,2757,-27.96680318,2975.616455,31969
0,2049,2309,11.8045009,2082,-0.35971223,0,2051,2455,-13.88747744,2735,-27.16894984,2995.147705,32609
-0.354609929,2049,2293,11.1561218,2081,0.01,-0.010638298,2052,2461,-14.09695509,2758,-28.00135032,3014.678955,33249
0,2049,2300,11.40366349,2085,-1.438848921,0,2051,2482,-14.90841285,2761,-28.11988768,3034.210205,33889
0,2049,2298,11.34369593,2085,-1.438848921,0,2051,2469,-14.40760186,2760,-28.08105162,3053.741455,34529
-0.354609929,2052,2296,11.27747574,2082,-0.410114915,-1.017349707,2052,2460,-14.06310644,2752,-27.78276872,3073.272705,35169
-0.354609929,2052,2314,11.97107164,2086,-1.848963836,-1.017349707,2052,2477,-14.72320903,2772,-28.54431733,3092.803955,35809
-0.354609929,2051,2279,10.59509949,2082,-0.389980687,-0.681779237,2052,2462,-14.12251263,2763,-28.16970484,3112.335205,36449
0,2050,2307,11.7035457,2082,-0.379846458,-0.33557047,2051,2469,-14.41135757,2769,-28.42518044,3131.866455,37089
0,2050,2297,11.27919063,2080,0.339578002,-0.33557047,2051,2485,-15.02023424,2764,-28.22726461,3151.397705,37729
-1.773049645,2047,2282,10.71179728,2080,0.449980687,0.61794945,2056,2464,-14.20506799,2754,-27.83987244,3170.928955,38369
-1.063829787,2055,2303,11.53880827,2085,-1.52965429,-2.045337712,2054,2472,-14.52979316,2752,-27.79060869,3190.460205,39009
0.354609929,2052,2296,11.26210324,2084,-1.149539375,-0.996073112,2050,2470,-14.44741899,2752,-27.78230754,3209.991455,39649
-0.354609929,2054,2292,11.1210315,2084,-1.169807832,-1.688490647,2052,2458,-13.97421253,2776,-28.66696428,3229.522705,40289
-0.709219858,2051,2291,11.05623014,2087,-2.178541838,-0.692417535,2053,2474,-14.59424648,2760,-28.07242764,3249.053955,40929
0,2049,2291,11.08225977,2082,-0.35971223,0,2051,2457,-13.9435057,2753,-27.81394927,3268.585205,41569
-0.709219858,2051,2301,11.47916638,2083,-0.739692917,-0.692417535,2053,2459,-14.02084043,2773,-28.56659721,3288.116455,42209
0.709219858,2048,2297,11.31614385,2085,-1.438714693,0.356847066,2049,2461,-14.09640382,2768,-28.37652135,3307.647705,42849
-1.773049645,2054,2313,11.94149381,2083,-0.770095601,-1.731043838,2056,2470,-14.46265484,2747,-27.61750407,3327.178955,43489
-0.709219858,2050,2292,11.09025689,2087,-2.158407609,-0.356847066,2053,2478,-14.74357778,2774,-28.59196697,3346.710205,44129
-0.354609929,2052,2297,11.30357939,2083,-0.769827145,-1.017349707,2052,2469,-14.41051527,2750,-27.70947775,3366.241455,44769
-1.773049645,2054,2299,11.37288888,2080,0.309041089,-1.731043838,2056,2476,-14.6777781,2759,-28.04489037,3385.772705,45409
